"Timestamp","Q1. Where do you like to meet for coffee at ANU?","Q2. Does the cafe offer complimentary food?","Q3. Is the cafe the top rated on Google Maps?","Q4. Does the cafe provide a relaxed environment to spend time in for conversation and socialising?","Q5. Will I be shamed for requesting extra chocolate powder on my cappuccino?","Q6. Does the cafe have seats available in the sun (assuming it is a nice day)?","Q7. Does the cafe support the Green Caffeen reusable cup swap scheme (https://greencaffeen.com.au/)?","Q8. Will they get the spelling of my name right?","Q9. Is the cafe closest to your main work/study location?","Q10. Will they charge me for requesting an alternative milk?","Q11. Does the cafe sell big cookies?","Q12. Does this cafe serve chilled fruit flavoured coffee?","Q13. Do they make tasty coffee?","Q14. Does their decaf taste like hot milk?","Q15. Is the cafe easy to locate as a new comer to ANU?","Q16. Does the cafe also serve soft drinks?"
"2022/05/03 4:50:22 pm GMT+10","Coffee Grounds","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"2022/05/03 6:00:53 pm GMT+10","Craft Beans","Yes","Yes","Yes","No","No","No","Yes","No","","Yes","","Yes","","Yes","Yes"
"2022/05/03 6:08:19 pm GMT+10","Coffee Grounds","No","Yes","Yes","No","Yes","No","Yes","Yes","","Yes","","Yes","","Yes","Yes"
"2022/05/03 6:12:44 pm GMT+10","The Cupping Room","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"2022/05/03 6:21:49 pm GMT+10","Dont drink coffee","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"2022/05/03 8:48:55 pm GMT+10","Coffee Lab","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"2022/05/03 9:39:17 pm GMT+10","Rex Espresso","No","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No"
"2022/05/04 9:22:30 am GMT+10","Craft Beans","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes"
"2022/05/04 9:24:29 am GMT+10","Craft Beans","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No"
"2022/05/04 12:20:03 pm GMT+10","Craft Beans","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"2022/05/04 12:39:36 pm GMT+10","La Baguette","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","Yes"
"2022/05/04 1:38:02 pm GMT+10","Coffee Grounds","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"2022/05/04 3:26:13 pm GMT+10","Craft Beans","Yes","No","Yes","","No","No","Yes","No","No","No","No","Yes","No","No","Yes"
